text,favorited,favoriteCount,replyToSN,created,truncated,replyToSID,id,replyToUID,statusSource,screenName,retweetCount,isRetweet,retweeted,longitude,latitude
#balancetonporc https://t.co/klCTUYJhfb,FALSE,4,NA,2017-10-21 23:58:36,FALSE,NA,921888483291131904,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,planet_megan,3,FALSE,FALSE,NA,NA
Ça me fatigue le #balancetonporc. La boîte de Pandore ouverte par le fils/frère de Woody Allen et de Mia Farrow... on croit rêver !,FALSE,0,NA,2017-10-21 23:58:35,FALSE,NA,921888477041577984,NA,<a href="http://twitter.com/#!/download/ipad" rel="nofollow">Twitter for iPad</a>,cmaf76,0,FALSE,FALSE,NA,NA
Pour Sigmund Freud : ''Une fête est un excès permis, voire ordonné.'' Dans le monde d  #BalanceTonPorc y'a pas d présomption d'innocence!,FALSE,0,NA,2017-10-21 23:58:31,FALSE,NA,921888459731677185,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,MMGlody,0,FALSE,FALSE,NA,NA
Agression sexuelle par un policier dans le commissariat de Villeurbanne #BalanceTonPorc         https://t.co/CvwZ22gvfK,FALSE,0,NA,2017-10-21 23:58:09,FALSE,NA,921888366995570689,NA,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,lili_angelique,0,FALSE,FALSE,NA,NA
#BalanceTonPorc : une ex-salafiste accuse Tariq Ramadan de “viol” et porte plainte https://t.co/99HhC5kT57 via @PoliceRalits,FALSE,0,NA,2017-10-21 23:56:40,FALSE,NA,921887994398806016,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,clauddan,1,FALSE,FALSE,NA,NA
Je lui ai fait un câlin parce qu'il se sentait mal, j'étais un peu bourré, ça a duré 2 min et il a pas mit de capot… https://t.co/2JFT8cK5AS,FALSE,0,NA,2017-10-21 23:55:47,TRUE,NA,921887771781984256,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Lobotomique,0,FALSE,FALSE,NA,NA
@borisloundine oui

eh ben : c'est ce que nous disons : #Balancetonporc est LEGITIME 

et y'a rien à commenter 
cen… https://t.co/Ly0EKVB3Cg,FALSE,1,borisloundine,2017-10-21 23:54:12,TRUE,921886717631762433,921887373729910784,701902347673464837,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,FanchonF,0,FALSE,FALSE,NA,NA
@suralacaissiere #balancetonporc,FALSE,0,suralacaissiere,2017-10-21 23:52:26,FALSE,921837420936597505,921886929225994240,3837371235,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,TheIcemanTv,0,FALSE,FALSE,NA,NA
wow #afd #balancetonporc #Train #Bisexuel https://t.co/vEEexv21hD,FALSE,0,NA,2017-10-21 23:51:24,FALSE,NA,921886667560095745,NA,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,loonyjon,0,FALSE,FALSE,NA,NA
#balancetonporc #MeToo claire embrasse tout le monde de force sous prétexte d'anniversaire,FALSE,0,NA,2017-10-21 23:50:20,FALSE,NA,921886400202596353,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Kroustibatman,0,FALSE,FALSE,NA,NA
@vw_france #balancetonporc c'est ce qu'il nous faut.,FALSE,0,vw_france,2017-10-21 23:49:05,FALSE,918846540852092929,921886087303368704,720666014,<a href="http://twitter.com" rel="nofollow">Twitter Web Client</a>,Dilicorne,0,FALSE,FALSE,NA,NA
Harcèlement, #Balancetonporc: Boutin dénonce un "dégueulis d'accusations" https://t.co/CkTK5GUWV1 https://t.co/a17qCuPDeW,FALSE,0,NA,2017-10-21 23:49:03,FALSE,NA,921886079501836288,NA,<a href="https://dlvrit.com/" rel="nofollow">dlvr.it</a>,123_INFO_,0,FALSE,FALSE,NA,NA
J'ai été harcelé au métro par elle.

#balancetonporc,FALSE,0,NA,2017-10-21 23:49:00,FALSE,NA,921886066646319104,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,oumark4,0,FALSE,FALSE,NA,NA
@maximebarbier @EloiseBouton @minutebuzz @MonsieurDream Ta réponse est minable. Essayer un coup de com sur ce genre… https://t.co/Jn5NuswLDm,FALSE,2,maximebarbier,2017-10-21 23:47:13,TRUE,921672232224608256,921885618359152640,17789771,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,lasodomite,0,FALSE,FALSE,NA,NA
Avec #balancetonporc on voit la montée exsangues du féministe pugnace que j avais tant annonce,FALSE,0,NA,2017-10-21 23:45:24,FALSE,NA,921885159162630145,NA,<a href="http://twitter.com/download/android" rel="nofollow">Twitter for Android</a>,Diez_31,0,FALSE,FALSE,NA,NA
@DarkLoMan Jusqu'à ce qu'un jour tu sois affiché dans #balancetonporc ptdrrrr,FALSE,0,DarkLoMan,2017-10-21 23:45:19,FALSE,921884109714153473,921885136706326530,789402693848616960,<a href="http://twitter.com/download/iphone" rel="nofollow">Twitter for iPhone</a>,casiraghiBF,0,FALSE,FALSE,NA,NA
